id,passwd,Belong,name,depart,profession,score,time-begin,time-end
1000001,s123456,S,隋金凤,气候变化研究（全球变暖、冰川和冰盖）,负责人,10.0,6:00,20:00
1000002,s123456,S,林桂芳,气候变化研究（全球变暖、冰川和冰盖）,行业专家,10.0,7:00,17:00
1000003,s123456,S,朱想,气候变化研究（全球变暖、冰川和冰盖）,研究员,10.0,7:00,23:00
1000004,s123456,S,向帆,气候变化研究（全球变暖、冰川和冰盖）,研究员,10.0,8:00,16:00
1000005,s123456,S,江文,气候变化研究（全球变暖、冰川和冰盖）,审核专员,10.0,6:00,23:00
1000006,s123456,S,谭桂珍,气候变化研究（全球变暖、冰川和冰盖）,审核专员,10.0,6:00,21:00
1000007,s123456,S,姜玲,海洋学研究（海洋动力学和潮汐）,负责人,10.0,7:00,16:00
1000008,s123456,S,王军,海洋学研究（海洋动力学和潮汐）,行业专家,10.0,6:00,18:00
1000009,s123456,S,马丹丹,海洋学研究（海洋动力学和潮汐）,研究员,10.0,6:00,17:00
1000010,s123456,S,张斌,海洋学研究（海洋动力学和潮汐）,研究员,10.0,6:00,23:00
1000011,s123456,S,王婷婷,海洋学研究（海洋动力学和潮汐）,审核专员,10.0,7:00,21:00
1000012,s123456,S,王丽娟,海洋学研究（海洋动力学和潮汐）,审核专员,10.0,6:00,19:00
1000013,s123456,S,高丹,地质学研究（海岸线变化和沉积）,负责人,10.0,8:00,18:00
1000014,s123456,S,张颖,地质学研究（海岸线变化和沉积）,行业专家,10.0,6:00,17:00
1000015,s123456,S,杜梅,地质学研究（海岸线变化和沉积）,研究员,10.0,6:00,17:00
1000016,s123456,S,彭桂香,地质学研究（海岸线变化和沉积）,研究员,10.0,7:00,22:00
1000017,s123456,S,杨斌,地质学研究（海岸线变化和沉积）,审核专员,10.0,7:00,16:00
1000018,s123456,S,杜辉,地质学研究（海岸线变化和沉积）,审核专员,10.0,7:00,23:00
1000019,s123456,S,袁建军,课堂教学,负责人,10.0,8:00,23:00
1000020,s123456,S,颜金凤,课堂教学,行业专家,10.0,8:00,23:00
1000021,s123456,S,王娟,课堂教学,研究员,10.0,7:00,21:00
1000022,s123456,S,杨秀云,课堂教学,研究员,10.0,6:00,19:00
1000023,s123456,S,冷鹏,课堂教学,审核专员,10.0,8:00,21:00
1000024,s123456,S,朱辉,课堂教学,审核专员,10.0,8:00,16:00
1000025,s123456,S,黄小红,沿海开发和建设,负责人,10.0,6:00,23:00
1000026,s123456,S,柴磊,沿海开发和建设,行业专家,10.0,8:00,18:00
1000027,s123456,S,马成,沿海开发和建设,研究员,10.0,8:00,19:00
1000028,s123456,S,袁海燕,沿海开发和建设,研究员,10.0,6:00,19:00
1000029,s123456,S,高成,沿海开发和建设,审核专员,10.0,7:00,22:00
1000030,s123456,S,赖俊,沿海开发和建设,审核专员,10.0,8:00,19:00
1000031,s123456,S,何霞,保险业,负责人,10.0,6:00,23:00
1000032,s123456,S,陈文,保险业,行业专家,10.0,8:00,20:00
1000033,s123456,S,史利,保险业,研究员,10.0,7:00,18:00
1000034,s123456,S,唐霞,保险业,研究员,10.0,6:00,16:00
1000035,s123456,S,刘彬,保险业,审核专员,10.0,7:00,19:00
1000036,s123456,S,赵凯,保险业,审核专员,10.0,8:00,16:00
1000037,s123456,S,曹敏,海运和港口管理,负责人,10.0,8:00,16:00
1000038,s123456,S,余畅,海运和港口管理,行业专家,10.0,6:00,19:00
1000039,s123456,S,张玲,海运和港口管理,研究员,10.0,8:00,21:00
1000040,s123456,S,闵瑞,海运和港口管理,研究员,10.0,7:00,16:00
1000041,s123456,S,杨楠,海运和港口管理,审核专员,10.0,7:00,18:00
1000042,s123456,S,杨杨,海运和港口管理,审核专员,10.0,8:00,19:00
1000043,s123456,S,李芳,开发商业应用程序,负责人,10.0,8:00,17:00
1000044,s123456,S,黄俊,开发商业应用程序,行业专家,10.0,8:00,18:00
1000045,s123456,S,刘林,开发商业应用程序,研究员,10.0,6:00,16:00
1000046,s123456,S,刘玉梅,开发商业应用程序,研究员,10.0,7:00,18:00
1000047,s123456,S,胡华,开发商业应用程序,审核专员,10.0,8:00,20:00
1000048,s123456,S,朱瑞,开发商业应用程序,审核专员,10.0,6:00,17:00
1000049,s123456,S,郑丹丹,户外活动和旅游,负责人,10.0,8:00,19:00
1000050,s123456,S,张秀荣,户外活动和旅游,行业专家,10.0,8:00,18:00
1000051,s123456,S,梁瑞,户外活动和旅游,研究员,10.0,8:00,18:00
1000052,s123456,S,连玉兰,户外活动和旅游,研究员,10.0,8:00,18:00
1000053,s123456,S,苏玉,户外活动和旅游,审核专员,10.0,7:00,19:00
1000054,s123456,S,吴俊,户外活动和旅游,审核专员,10.0,6:00,16:00
1000055,s123456,S,陈涛,个人决策制定,负责人,10.0,6:00,23:00
1000056,s123456,S,路淑兰,个人决策制定,行业专家,10.0,8:00,17:00
1000057,s123456,S,黎成,个人决策制定,研究员,10.0,7:00,19:00
1000058,s123456,S,徐颖,个人决策制定,研究员,10.0,7:00,22:00
1000059,s123456,S,邢超,个人决策制定,审核专员,10.0,6:00,19:00
1000060,s123456,S,张琴,个人决策制定,审核专员,10.0,6:00,20:00
1000061,s123456,S,程桂香,个人数据分析项目,负责人,10.0,6:00,21:00
1000062,s123456,S,张坤,个人数据分析项目,行业专家,10.0,7:00,18:00
1000063,s123456,S,郑帅,个人数据分析项目,研究员,10.0,8:00,21:00
1000064,s123456,S,尹宇,个人数据分析项目,研究员,10.0,8:00,16:00
1000065,s123456,S,成玉华,个人数据分析项目,审核专员,10.0,6:00,19:00
1000066,s123456,S,陈亮,个人数据分析项目,审核专员,10.0,7:00,18:00
1000067,s123456,S,韦健,天气预报,负责人,10.0,6:00,23:00
1000068,s123456,S,冯玉华,天气预报,行业专家,10.0,6:00,21:00
1000069,s123456,S,焦秀英,天气预报,研究员,10.0,7:00,20:00
1000070,s123456,S,孙宁,天气预报,研究员,10.0,7:00,20:00
1000071,s123456,S,陆秀芳,天气预报,审核专员,10.0,8:00,18:00
1000072,s123456,S,朱桂珍,天气预报,审核专员,10.0,6:00,18:00
1000073,s123456,S,董秀荣,气候模型,负责人,10.0,8:00,20:00
1000074,s123456,S,刘秀珍,气候模型,行业专家,10.0,7:00,21:00
1000075,s123456,S,魏秀珍,气候模型,研究员,10.0,7:00,18:00
1000076,s123456,S,林宇,气候模型,研究员,10.0,8:00,21:00
1000077,s123456,S,胡芳,气候模型,审核专员,10.0,6:00,19:00
1000078,s123456,S,高旭,气候模型,审核专员,10.0,8:00,21:00
1000079,s123456,S,林帅,洋流,负责人,10.0,8:00,18:00
1000080,s123456,S,任桂英,洋流,行业专家,10.0,6:00,21:00
1000081,s123456,S,张云,洋流,研究员,10.0,6:00,22:00
1000082,s123456,S,黄雪,洋流,研究员,10.0,8:00,18:00
1000083,s123456,S,罗辉,洋流,审核专员,10.0,8:00,17:00
1000084,s123456,S,赵凤兰,洋流,审核专员,10.0,6:00,19:00
1000085,s123456,S,艾帅,海啸预警,负责人,10.0,7:00,17:00
1000086,s123456,S,朱淑珍,海啸预警,行业专家,10.0,6:00,20:00
1000087,s123456,S,李峰,海啸预警,研究员,10.0,7:00,19:00
1000088,s123456,S,卜荣,海啸预警,研究员,10.0,8:00,21:00
1000089,s123456,S,李凤英,海啸预警,审核专员,10.0,6:00,17:00
1000090,s123456,S,刘伟,海啸预警,审核专员,10.0,6:00,16:00
1000091,s123456,S,刘雷,风暴潮预警,负责人,10.0,7:00,20:00
