id,passwd,Belong,name,age,gender,aim
3000001,v123456,V,汪瑜,67,male,海洋环境教育活动推广
3000002,v123456,V,王健,69,male,海洋环境管理政策研究
3000003,v123456,V,冯欢,35,female,海洋环境管理政策研究
3000004,v123456,V,姚瑜,53,male,海洋保护区规划
3000005,v123456,V,申丽丽,40,male,海洋生态系统服务功能保护
3000006,v123456,V,席璐,61,female,深海探测
3000007,v123456,V,阳淑珍,38,male,海洋环境监测数据分析
3000008,v123456,V,唐瑞,32,female,海洋环境监测数据分析方法
3000009,v123456,V,宋红梅,32,male,海洋生态系统恢复研究
3000010,v123456,V,顾飞,26,male,沿海城市规划
3000011,v123456,V,曹秀芳,66,male,海洋碳封存研究
3000012,v123456,V,邓玲,49,female,海洋环境保护教育
3000013,v123456,V,胡艳,53,female,海啸预警系统
3000014,v123456,V,王宁,35,female,海洋科学技术推广
3000015,v123456,V,刘玉珍,39,female,海洋经济研究
3000016,v123456,V,彭淑华,66,male,海洋碳循环研究
3000017,v123456,V,冯桂荣,35,female,环境影响评估
3000018,v123456,V,曾凤英,51,female,海洋生态系统恢复研究
3000019,v123456,V,董超,57,male,卫星遥感数据验证
3000020,v123456,V,徐磊,56,female,海洋生态系统服务评估
3000021,v123456,V,杨成,27,female,海洋生态环境保护政策评估
3000022,v123456,V,袁军,53,male,地质灾害监测
3000023,v123456,V,邹柳,70,female,海洋资源保护与开发政策
3000024,v123456,V,宫丽,64,female,海洋生态系统服务功能研究
3000025,v123456,V,刘林,38,male,海洋资源开发与利用
3000026,v123456,V,杨建军,27,female,海洋资源开发规划
3000027,v123456,V,沈颖,61,female,海洋环境教育资源推广
3000028,v123456,V,程凤兰,34,female,水产养殖规划
3000029,v123456,V,陈建国,30,male,海洋公园管理
3000030,v123456,V,冯丽华,37,male,海洋灾害风险管理
3000031,v123456,V,何丹,67,female,海洋环境教育活动设计
3000032,v123456,V,张利,32,female,海洋环境监测数据分析方法
3000033,v123456,V,邓冬梅,52,male,海洋观测数据整合
3000034,v123456,V,王桂芝,58,female,海洋生态修复
3000035,v123456,V,韩想,36,male,海洋资源保护政策制定
3000036,v123456,V,唐淑珍,22,male,海洋生态环境评估
3000037,v123456,V,孙洋,21,female,海洋资源利用效率提升
3000038,v123456,V,黄慧,41,female,海洋数据可视化
3000039,v123456,V,卿兵,60,female,海洋科学技术推广
3000040,v123456,V,杨琴,29,male,沿海湿地保护
3000041,v123456,V,张金凤,21,female,海洋微塑料研究
3000042,v123456,V,韩荣,19,female,海洋环境保护技术推广
3000043,v123456,V,吴龙,61,male,海洋环境教育项目
3000044,v123456,V,朱秀兰,42,male,海洋环境保护科技推广
3000045,v123456,V,戴林,51,male,航运路线优化
3000046,v123456,V,戴玉,43,female,海洋垃圾监测
3000047,v123456,V,黄玉珍,68,female,海洋环境保护科技成果转化
3000048,v123456,V,邹丽丽,45,female,环境影响评估
3000049,v123456,V,白阳,67,female,海洋观测数据共享
3000050,v123456,V,冯梅,41,male,海洋酸化研究
3000051,v123456,V,傅玲,57,female,海洋资源管理
3000052,v123456,V,阎丹,39,male,航道疏浚计划
3000053,v123456,V,黄兰英,34,male,冰川融化研究
3000054,v123456,V,李建军,27,female,海洋科学技术创新成果
3000055,v123456,V,李梅,25,female,海岸带管理
3000056,v123456,V,陈丽娟,20,female,渔业管理
3000057,v123456,V,涂燕,50,female,海洋环境监测技术标准
3000058,v123456,V,邱秀荣,25,male,海洋生态环境保护技术
3000059,v123456,V,李芳,23,female,海洋生物栖息地恢复
3000060,v123456,V,关倩,61,female,海平面上升监测
3000061,v123456,V,赵宁,22,female,海洋公园管理
3000062,v123456,V,陈淑华,31,female,海洋生态系统模型优化
3000063,v123456,V,孙东,52,male,海洋风能开发
3000064,v123456,V,田浩,34,female,气候变化研究
3000065,v123456,V,叶波,30,female,海洋环境风险防范措施
3000066,v123456,V,高秀兰,44,female,海洋环境保护科技推广
3000067,v123456,V,黄琴,67,female,海洋环境保护技术推广
3000068,v123456,V,张龙,64,female,海洋气候预测
3000069,v123456,V,刘荣,32,female,洪水风险预测
3000070,v123456,V,孙琳,59,female,海洋环境教育活动推广
3000071,v123456,V,高勇,29,female,海洋环境保护政策制定
3000072,v123456,V,魏桂荣,45,male,海洋温度变化研究
3000073,v123456,V,朱瑞,64,male,海洋生态环境保护政策评估
3000074,v123456,V,孔婷,70,female,海洋碳封存研究
3000075,v123456,V,赵红梅,21,male,海洋酸化研究
3000076,v123456,V,常建华,62,female,海洋碳循环研究
3000077,v123456,V,王建华,53,female,海洋生物资源保护
3000078,v123456,V,张莹,33,female,海洋资源勘探与开发
3000079,v123456,V,王金凤,39,male,海洋环境监测数据分析
3000080,v123456,V,刘岩,52,female,海洋资源保护与开发政策
3000081,v123456,V,何勇,22,female,海洋生态系统服务评估
3000082,v123456,V,孔桂英,22,female,海洋环境保护政策评估
3000083,v123456,V,王淑英,34,female,海洋环境教育活动
3000084,v123456,V,黄宁,36,male,海洋环境监测与评估
3000085,v123456,V,潘梅,37,male,海洋资源开发与利用
3000086,v123456,V,何静,39,male,海洋法律与政策研究
3000087,v123456,V,朴强,67,male,海平面上升监测
3000088,v123456,V,成萍,60,male,海洋环境监测技术标准
3000089,v123456,V,王红霞,41,male,海洋环境保护科技推广
3000090,v123456,V,崔秀荣,24,male,海洋健康指数研究
3000091,v123456,V,饶帅,66,female,海洋资源保护管理措施
3000092,v123456,V,王桂花,51,male,沿海湿地保护
3000093,v123456,V,刘建华,41,male,海洋环境教育项目推广
3000094,v123456,V,李强,46,male,海洋环境管理政策研究
3000095,v123456,V,刘刚,66,male,海洋观测技术标准制定
3000096,v123456,V,杨勇,21,female,深海矿产资源评估
3000097,v123456,V,陈海燕,56,female,海洋工程技术研究
3000098,v123456,V,徐秀华,68,male,海洋气候变化影响研究
3000099,v123456,V,杨秀芳,44,male,航运路线优化
3000100,v123456,V,段杰,21,female,海洋科学技术合作项目
3000101,v123456,V,何秀兰,42,male,海洋科学技术合作项目
3000102,v123456,V,林淑兰,61,female,海洋环境监测技术创新
3000103,v123456,V,武玉兰,37,male,海洋地理信息系统开发
3000104,v123456,V,聂红霞,54,male,海洋水文气象研究
3000105,v123456,V,董建,37,female,海洋温度变化研究
3000106,v123456,V,王红梅,38,female,海洋生态系统保护措施
3000107,v123456,V,斯欢,31,male,海洋生态系统保护措施
3000108,v123456,V,黄柳,25,male,海洋研究设备开发
3000109,v123456,V,薛华,43,female,海洋生物多样性监测
3000110,v123456,V,张淑珍,49,female,海洋垃圾监测
3000111,v123456,V,何健,67,male,海洋生物栖息地研究
3000112,v123456,V,陈欣,47,female,海洋生态环境保护政策
3000113,v123456,V,侯玉,22,female,海洋环境保护政策建议
3000114,v123456,V,黄琴,68,male,海洋酸化研究
3000115,v123456,V,高桂香,45,male,海洋环境预报
3000116,v123456,V,张平,70,male,海洋环境监测技术标准
3000117,v123456,V,董婷,60,male,海洋资源可持续利用研究
3000118,v123456,V,温浩,66,male,海洋生物多样性监测技术
3000119,v123456,V,郑东,68,male,海洋环境法研究
3000120,v123456,V,高娜,61,male,海洋生态环境管理措施
3000121,v123456,V,李琳,66,female,环境影响评估
3000122,v123456,V,廖成,42,male,海洋生态系统服务功能保护
3000123,v123456,V,黄芳,34,female,海洋碳封存研究
3000124,v123456,V,黎华,69,female,海洋水文气象研究
3000125,v123456,V,郭欢,53,male,海洋灾害保险评估
3000126,v123456,V,徐红,70,female,海洋经济研究
3000127,v123456,V,吴桂兰,21,female,海岸线变化监测
3000128,v123456,V,李秀梅,69,male,海洋观测数据共享
3000129,v123456,V,赵秀珍,42,male,水下考古研究
3000130,v123456,V,陈彬,59,female,海洋环境教育项目
3000131,v123456,V,黄琳,45,female,海洋环境教育活动推广
3000132,v123456,V,孙建华,34,male,海洋经济研究
3000133,v123456,V,刘丽娟,47,male,海洋环境保护政策建议
3000134,v123456,V,萧桂荣,20,female,海洋数据分析与处理
3000135,v123456,V,李超,69,female,沿海社区规划
3000136,v123456,V,张红,66,female,海洋生物资源监测
3000137,v123456,V,常强,41,female,海洋环境风险评估
3000138,v123456,V,吕伟,45,male,海洋生态系统健康评估
3000139,v123456,V,傅桂芝,53,female,地球系统科学研究
3000140,v123456,V,桑建军,51,male,海洋气候变化适应措施
3000141,v123456,V,杨玲,56,female,海洋保护区规划
3000142,v123456,V,曾淑珍,49,male,海洋碳封存研究
3000143,v123456,V,黄秀梅,66,female,海洋生物迁徙研究
3000144,v123456,V,田琳,67,female,海洋碳吸收研究
3000145,v123456,V,任秀荣,62,female,海洋资源保护管理政策研究
3000146,v123456,V,戴晶,30,male,海洋生物栖息地研究
3000147,v123456,V,刘想,51,female,海洋科学技术合作项目
3000148,v123456,V,刘军,59,male,海洋环境监测数据处理
3000149,v123456,V,李鹏,40,female,海洋灾害保险评估
3000150,v123456,V,万军,37,male,海洋灾害应急响应
3000151,v123456,V,李佳,48,male,海洋生态系统模型开发
3000152,v123456,V,杜龙,23,male,海洋资源保护措施研究
3000153,v123456,V,顾健,39,female,海洋资源利用效率提升
3000154,v123456,V,宋帆,21,female,海洋资源开发技术创新
3000155,v123456,V,苏海燕,31,female,地质灾害监测
3000156,v123456,V,萧凯,22,male,风暴潮风险评估
3000157,v123456,V,冯斌,66,female,海洋资源开发技术研究
3000158,v123456,V,王静,57,female,海洋保护区规划
3000159,v123456,V,王莉,68,female,海洋科学技术合作
